id_str,screen_name,name,followers_count,friends_count,statuses_count,favourites_count,listed_count,url,time_zone,default_profile,default_profile_image,profile_banner_url,profile_background_image_url_https,profile_text_color,profile_image_url_https,profile_sidebar_border_color,profile_background_tile,profile_background_image_url,profile_background_color,profile_link_color,utc_offset,contributors_enabled,timestamp,dataset,is_bot,screen_name_length,lang,geo_enabled,profile_use_background_image,profile_sidebar_fill_color,notifications,following,created_at,crawled_at,updated,account_age_days,profile_image_url,description,has_description,description_length,location,verified
id,name,screen_name,,,,,,created_at,,,,profile_image_url,profile_use_background_image,profile_background_image_url_https,profile_text_color,profile_image_url_https,profile_sidebar_border_color,profile_sidebar_fill_color,profile_background_image_url,profile_background_color,profile_link_color,description,,fake_followers.csv,True,4,,,,,,,,,,,,,,,,
80479674,YI YUAN,yi_twitts,29.0,19.0,255.0,1.0,0.0,Wed Oct 07 03:19:21 +0000 2009,,,,http://a0.twimg.com/profile_images/1832741069/IMG-20120214-00718_normal.jpg,1,https://si0.twimg.com/images/themes/theme14/bg.gif,333333,https://si0.twimg.com/profile_images/1832741069/IMG-20120214-00718_normal.jpg,eeeeee,efefef,http://a0.twimg.com/images/themes/theme14/bg.gif,131516,009999,real estate sales ,,fake_followers.csv,True,7,,,,,,,,,,,,,,,,
82487179,Marcos Perez C,marcos_peca,1408.0,208.0,866.0,138.0,0.0,Wed Oct 14 23:40:17 +0000 2009,,,,http://a0.twimg.com/profile_images/3106285928/27ff461f60221525571f732c0f4ee638_normal.jpeg,1,https://si0.twimg.com/images/themes/theme6/bg.gif,333333,https://si0.twimg.com/profile_images/3106285928/27ff461f60221525571f732c0f4ee638_normal.jpeg,86A4A6,A0C5C7,http://a0.twimg.com/images/themes/theme6/bg.gif,709397,FF3300,,,fake_followers.csv,True,14,,,,,,,,,,,,,,,,
105830531,curti lorenzo,curtilorenzo,39.0,59.0,962.0,8.0,0.0,Sun Jan 17 16:46:52 +0000 2010,,,,http://a0.twimg.com/profile_images/1743973394/foto_lory_normal.jpg,1,https://si0.twimg.com/profile_background_images/394073268/vicenza03.jpg,333333,https://si0.twimg.com/profile_images/1743973394/foto_lory_normal.jpg,A8C7F7,C0DFEC,http://a0.twimg.com/profile_background_images/394073268/vicenza03.jpg,022330,0084B4,le corna del capro scappato dal gregge s'infilan nel culo al pirla che legge,,fake_followers.csv,True,13,,,,,,,,,,,,,,,,
114488344,ruben dario toscano ,gatito2710,59.0,7.0,49.0,4.0,0.0,Mon Feb 15 15:49:58 +0000 2010,,,1.0,http://a0.twimg.com/profile_images/1174713108/49886_100001607642043_8223855_n_normal.jpg,1,https://si0.twimg.com/images/themes/theme1/bg.png,333333,https://si0.twimg.com/profile_images/1174713108/49886_100001607642043_8223855_n_normal.jpg,C0DEED,DDEEF6,http://a0.twimg.com/images/themes/theme1/bg.png,C0DEED,0084B4,,,fake_followers.csv,True,20,,,,,,,,,,,,,,,,
123222267,Malek Khalaf,MalekKhalaf,987.0,60.0,521.0,61.0,1.0,Mon Mar 15 11:38:55 +0000 2010,,,,http://a0.twimg.com/profile_images/2861541411/5a4e2ef2ac36e854f5d1083444576ead_normal.jpeg,,https://si0.twimg.com/profile_background_images/213476345/x1b38134862380bfec9beb23a7732a5b.jpg,DDE1E4,https://si0.twimg.com/profile_images/2861541411/5a4e2ef2ac36e854f5d1083444576ead_normal.jpeg,000002,A9A09B,http://a0.twimg.com/profile_background_images/213476345/x1b38134862380bfec9beb23a7732a5b.jpg,D9FBFC,C0C3CC,"MA student at JU, Interested in Juventus,Italy,Serie a, Technology world,Video games, Cars,Learning other languages & Socialist thinking http://t.co/SycIvbgq",,fake_followers.csv,True,12,,,,,,,,,,,,,,,,
144602443,ruthyohannadelarosa,ruthyohanna,286.0,141.0,1075.0,3.0,0.0,Sun May 16 19:51:50 +0000 2010,,,1.0,http://a0.twimg.com/profile_images/3065421059/5a19cc17a66fdc8c1564c22fbfd070f3_normal.jpeg,1,https://si0.twimg.com/images/themes/theme1/bg.png,333333,https://si0.twimg.com/profile_images/3065421059/5a19cc17a66fdc8c1564c22fbfd070f3_normal.jpeg,C0DEED,DDEEF6,http://a0.twimg.com/images/themes/theme1/bg.png,C0DEED,0084B4,Con Dios no necesito nada mas el es mi fortaleza,,fake_followers.csv,True,19,,,,,,,,,,,,,,,,
212958140,Julieta Analia Perez,July_pz,45.0,16.0,342.0,0.0,1.0,Sun Nov 07 15:13:37 +0000 2010,,,1.0,http://a0.twimg.com/profile_images/1493915242/perfil_normal.jpg,1,https://si0.twimg.com/images/themes/theme1/bg.png,333333,https://si0.twimg.com/profile_images/1493915242/perfil_normal.jpg,C0DEED,DDEEF6,http://a0.twimg.com/images/themes/theme1/bg.png,C0DEED,0084B4,,,fake_followers.csv,True,20,,,,,,,,,,,,,,,,
278082770,carlosjaviervega,bevega,72.0,14.0,287.0,0.0,0.0,Wed Apr 06 15:35:32 +0000 2011,,,1.0,http://a0.twimg.com/profile_images/1310287197/burn_your_home_normal.jpg,1,https://si0.twimg.com/images/themes/theme1/bg.png,333333,https://si0.twimg.com/profile_images/1310287197/burn_your_home_normal.jpg,C0DEED,DDEEF6,http://a0.twimg.com/images/themes/theme1/bg.png,C0DEED,0084B4,,,fake_followers.csv,True,16,,,,,,,,,,,,,,,,
367651000,Giampaolo Taddei,giatadde,1.0,0.0,122.0,0.0,0.0,Sun Sep 04 09:54:29 +0000 2011,,,1.0,http://a0.twimg.com/profile_images/2354402817/vetton_ru_525__7__normal.jpg,1,https://twimg0-a.akamaihd.net/images/themes/theme1/bg.png,333333,https://twimg0-a.akamaihd.net/profile_images/2354402817/vetton_ru_525__7__normal.jpg,C0DEED,DDEEF6,http://a0.twimg.com/images/themes/theme1/bg.png,C0DEED,0084B4,,,fake_followers.csv,True,16,,,,,,,,,,,,,,,,
