feature,type,AUC,num_valid_samples
verified,binary,0.7828150840623412,11826
followers_to_friends_ratio,numeric,0.7500587061724697,11826
followers,numeric,0.7356794830483554,11826
listed_count,numeric,0.7338467028605228,11826
account_age_days,numeric,0.6286821043155434,11826
statuses,numeric,0.6179620080139467,11826
has_entities_urls,binary,0.6064212134765088,11826
activity_rate,numeric,0.6063706579203574,11826
has_url,binary,0.6055319776136694,11826
geo_enabled,binary,0.5927777338087246,11826
has_background_image,binary,0.5652578189912867,11826
has_description,binary,0.5316057137254901,11826
favourites,numeric,0.5202418998595427,11826
has_profile_image,binary,0.5120063287615789,11826
fav_rate,numeric,0.5052549378027555,11826
desc_len,numeric,0.5015020462901105,11826
friends,numeric,0.44350778125212187,11826
default_profile,binary,0.4014660039025006,11826
